ds,yhat,yhat_lower,yhat_upper,Vehicle_Category
2014-09-01,40.378993531136366,21.948428337243232,75.26652431811289,4-Wheelers
2014-10-01,42.50250438892406,22.25124226310669,78.0271471735071,4-Wheelers
2014-11-01,44.6085759650465,21.99195873859124,85.25017491359111,4-Wheelers
2014-12-01,41.94912665659818,20.845269761843845,78.02109594365238,4-Wheelers
2015-01-01,43.790264905973686,22.130224407141213,80.3865160823589,4-Wheelers
2015-02-01,51.64352348300973,26.673506303772804,96.07153435451792,4-Wheelers
2015-03-01,57.90580760438031,29.73596854520664,112.98317618855252,4-Wheelers
2015-04-01,38.86901706511599,20.209270071357817,69.42654921005652,4-Wheelers
2015-05-01,42.95641108322141,23.04687088403046,79.12828187844778,4-Wheelers
2015-06-01,47.162631087758164,24.199457819357786,87.26943462374383,4-Wheelers
2015-07-01,50.36390755142361,26.602011290974463,96.18914651441375,4-Wheelers
2015-08-01,51.101212013934024,27.619694106550774,95.01385720058224,4-Wheelers
2015-09-01,53.74059483244407,29.29167007987063,99.61111147078893,4-Wheelers
2015-10-01,56.49481039587854,30.471948906561636,109.03217009373822,4-Wheelers
2015-11-01,58.652870033191356,31.71199014064114,107.92798979700444,4-Wheelers
2015-12-01,55.21102107931468,28.35614989779145,98.27716606899403,4-Wheelers
2016-01-01,56.57265144076431,29.740424861084094,104.39932849366845,4-Wheelers
2016-02-01,67.40822664308018,36.3987938435397,120.22825532486891,4-Wheelers
2016-03-01,86.48974598319514,46.6671457502939,163.1983932743414,4-Wheelers
2016-04-01,39.319607421665694,19.867124014543883,74.87772233778469,4-Wheelers
2016-05-01,55.30712930472997,29.992466512089887,104.40423296860465,4-Wheelers
2016-06-01,67.84564731618703,35.04742064135228,133.3172472689906,4-Wheelers
2016-07-01,68.73042290863401,36.611452518271065,129.52626842165873,4-Wheelers
2016-08-01,69.32451358794887,37.746157919220224,125.69604624025062,4-Wheelers
2016-09-01,66.98858592687712,36.642151031390554,130.70791768028647,4-Wheelers
2016-10-01,71.06604340781459,36.77791443236255,130.94276205147892,4-Wheelers
2016-11-01,76.7737986160361,40.511621591530634,149.32340913372374,4-Wheelers
2016-12-01,70.40302163748468,37.63055667063375,126.90311536246327,4-Wheelers
2017-01-01,76.81452749808042,40.98405499253037,136.90453575774768,4-Wheelers
2017-02-01,92.03138847530077,49.682458168877886,172.8909095640667,4-Wheelers
2017-03-01,110.69933595294128,57.312065974804,203.73309929694412,4-Wheelers
2017-04-01,54.53120543258895,27.417796020835436,99.69036545806489,4-Wheelers
2017-05-01,72.06531833566999,38.52708633300713,130.04898180110723,4-Wheelers
2017-06-01,85.97774739194558,43.00789876372693,160.80452788675845,4-Wheelers
2017-07-01,88.66760055213206,42.529561793719225,160.70205247471662,4-Wheelers
2017-08-01,89.48088754865908,46.449589890150804,162.42207887714443,4-Wheelers
2017-09-01,88.84270260711564,46.69951505626481,172.04541320551482,4-Wheelers
2017-10-01,94.26971703462605,50.56777697461482,175.99315611448782,4-Wheelers
2017-11-01,100.77816073573284,55.36596163007587,192.95041245803202,4-Wheelers
2017-12-01,92.52391352941827,50.470102857196174,169.9901435375018,4-Wheelers
2018-01-01,99.10396762219919,51.18207257331543,185.1179242125285,4-Wheelers
2018-02-01,119.9395953682639,65.19621403753548,222.77600674209197,4-Wheelers
2018-03-01,141.07894335720098,77.92536509994966,264.1484791558364,4-Wheelers
2018-04-01,76.32978333707833,40.51767519027889,143.3472882856048,4-Wheelers
2018-05-01,93.7052362555534,49.62176065010427,167.40097018098,4-Wheelers
2018-06-01,108.36559870844124,57.91352271867695,202.84581121283972,4-Wheelers
2018-07-01,114.13703432792997,61.4799639782579,215.05860100078235,4-Wheelers
2018-08-01,115.31845654362576,62.01449933467833,218.18563276307876,4-Wheelers
2018-09-01,118.03247695707451,62.18028475720253,214.8873010674265,4-Wheelers
2018-10-01,125.14615444454874,66.72185854359824,234.50107811746275,4-Wheelers
2018-11-01,132.17266988044224,70.13119641690217,246.45195453412953,4-Wheelers
2018-12-01,121.56941031762167,64.67579022677192,220.37444529835165,4-Wheelers
2019-01-01,127.52502359480982,68.98777642840898,239.48882065430954,4-Wheelers
2019-02-01,155.96829927172902,79.20225647210657,283.49116189888497,4-Wheelers
2019-03-01,180.15752011004645,99.0658609861933,327.9073600250928,4-Wheelers
2019-04-01,109.09967022495277,59.23927424953596,198.70852621325503,4-Wheelers
2019-05-01,123.69012482601134,65.45348435916215,233.5011848003758,4-Wheelers
2019-06-01,139.098658742354,75.7096994650898,252.9576734638988,4-Wheelers
2019-07-01,152.98015959206913,81.65034486298525,278.8747340757797,4-Wheelers
2019-08-01,157.81744467032715,84.65759548211874,290.85734925176916,4-Wheelers
2019-09-01,170.370230007695,92.76042292630626,317.5667149674714,4-Wheelers
2019-10-01,186.42139551284075,96.7604968657173,333.73419127069053,4-Wheelers
2019-11-01,200.9923341753937,106.51158393992621,387.66040576711436,4-Wheelers
2019-12-01,190.8666993125889,98.97868498028537,348.8310336048625,4-Wheelers
2020-01-01,202.25963856858348,104.68728320876032,384.34142008976016,4-Wheelers
2020-02-01,264.85446216468966,135.9609201034375,487.98587716717884,4-Wheelers
2020-03-01,382.56030240213,203.07617249377085,663.6654495880919,4-Wheelers
2020-04-01,140.88721057824586,74.3686247603019,268.6915530915071,4-Wheelers
2020-05-01,229.57046076075792,123.92590322450997,412.4885496435239,4-Wheelers
2020-06-01,318.1724623778895,165.01443764871846,604.4048651526199,4-Wheelers
2020-07-01,341.0027410441634,188.12155100524262,622.7777212850277,4-Wheelers
2020-08-01,363.8334891586081,189.94733041558015,625.0838677017365,4-Wheelers
2020-09-01,365.709503932957,188.2988307953903,695.7077006945414,4-Wheelers
2020-10-01,418.5551985823802,221.9488660590504,754.4034479544015,4-Wheelers
2020-11-01,492.78534142933734,263.5546586420845,954.1298010132921,4-Wheelers
2020-12-01,459.48434180918036,246.3374143752711,871.9986862503582,4-Wheelers
2021-01-01,549.0428582494313,280.44354129011225,1025.5660191775014,4-Wheelers
2021-02-01,752.4373692251519,410.51606948162066,1378.066739597843,4-Wheelers
2021-03-01,1035.7534674540022,570.7362297925275,1867.3120279443303,4-Wheelers
2021-04-01,387.89454311754906,201.15938117476327,724.2776855699732,4-Wheelers
2021-05-01,613.2070844968315,354.27047496168314,1196.0550933166821,4-Wheelers
2021-06-01,839.4731955859138,471.09600883177484,1629.7175346227584,4-Wheelers
2021-07-01,925.016134451149,517.9300048553084,1773.2256887793665,4-Wheelers
2021-08-01,988.1990771858476,501.7751878601815,1751.161812485319,4-Wheelers
2021-09-01,1029.4440113178734,547.79089650497,1856.362001808765,4-Wheelers
2021-10-01,1185.052961096401,661.0123499742322,2279.4697626587013,4-Wheelers
2021-11-01,1383.5543907745569,744.0970877701506,2516.0150071032176,4-Wheelers
2021-12-01,1272.8647002877904,674.8511985937956,2280.7014542184543,4-Wheelers
