date,State,Vehicle_Category,ev_sales
2014-08,Andaman & Nicobar Island,2-Wheelers,0.0
2014-08,Andaman & Nicobar Island,4-Wheelers,0.0
2014-08,Andhra Pradesh,2-Wheelers,0.0
2014-08,Andhra Pradesh,4-Wheelers,0.0
2014-08,Arunachal Pradesh,2-Wheelers,0.0
2014-08,Arunachal Pradesh,4-Wheelers,0.0
2014-08,Assam,2-Wheelers,0.0
2014-08,Assam,4-Wheelers,0.0
2014-08,Bihar,2-Wheelers,0.0
2014-08,Bihar,4-Wheelers,0.0
2014-08,Chandigarh,2-Wheelers,0.0
2014-08,Chandigarh,4-Wheelers,0.0
2014-08,Chhattisgarh,2-Wheelers,8.0
2014-08,Chhattisgarh,4-Wheelers,0.0
2014-08,DNH and DD,2-Wheelers,0.0
2014-08,DNH and DD,4-Wheelers,0.0
2014-08,Delhi,2-Wheelers,1.0
2014-08,Delhi,4-Wheelers,3.0
2014-08,Goa,2-Wheelers,2.0
2014-08,Goa,4-Wheelers,0.0
2014-08,Gujarat,2-Wheelers,5.0
2014-08,Gujarat,4-Wheelers,0.0
2014-08,Haryana,2-Wheelers,0.0
2014-08,Haryana,4-Wheelers,0.0
2014-08,Himachal Pradesh,2-Wheelers,0.0
2014-08,Himachal Pradesh,4-Wheelers,0.0
2014-08,Jammu and Kashmir,2-Wheelers,0.0
2014-08,Jammu and Kashmir,4-Wheelers,0.0
2014-08,Jharkhand,2-Wheelers,0.0
2014-08,Jharkhand,4-Wheelers,0.0
2014-08,Karnataka,2-Wheelers,9.0
2014-08,Karnataka,4-Wheelers,46.0
2014-08,Kerala,2-Wheelers,1.0
2014-08,Kerala,4-Wheelers,2.0
2014-08,Ladakh,2-Wheelers,0.0
2014-08,Ladakh,4-Wheelers,0.0
2014-08,Madhya Pradesh,2-Wheelers,4.0
2014-08,Madhya Pradesh,4-Wheelers,0.0
2014-08,Maharashtra,2-Wheelers,51.0
2014-08,Maharashtra,4-Wheelers,5.0
2014-08,Manipur,2-Wheelers,0.0
2014-08,Manipur,4-Wheelers,0.0
2014-08,Meghalaya,2-Wheelers,0.0
2014-08,Meghalaya,4-Wheelers,0.0
2014-08,Mizoram,2-Wheelers,0.0
2014-08,Mizoram,4-Wheelers,0.0
2014-08,Nagaland,2-Wheelers,0.0
2014-08,Nagaland,4-Wheelers,0.0
2014-08,Odisha,2-Wheelers,4.0
2014-08,Odisha,4-Wheelers,0.0
2014-08,Puducherry,2-Wheelers,0.0
2014-08,Puducherry,4-Wheelers,0.0
2014-08,Punjab,2-Wheelers,1.0
2014-08,Punjab,4-Wheelers,0.0
2014-08,Rajasthan,2-Wheelers,13.0
2014-08,Rajasthan,4-Wheelers,0.0
2014-08,Sikkim,2-Wheelers,0.0
2014-08,Sikkim,4-Wheelers,0.0
2014-08,Tamil Nadu,2-Wheelers,6.0
2014-08,Tamil Nadu,4-Wheelers,3.0
2014-08,Tripura,2-Wheelers,0.0
2014-08,Tripura,4-Wheelers,0.0
2014-08,Uttar Pradesh,2-Wheelers,6.0
2014-08,Uttar Pradesh,4-Wheelers,0.0
2014-08,Uttarakhand,2-Wheelers,0.0
2014-08,Uttarakhand,4-Wheelers,0.0
2014-08,West Bengal,2-Wheelers,0.0
2014-08,West Bengal,4-Wheelers,0.0
2014-09,Andaman & Nicobar Island,2-Wheelers,0.0
2014-09,Andaman & Nicobar Island,4-Wheelers,0.0
2014-09,Andhra Pradesh,2-Wheelers,1.0
2014-09,Andhra Pradesh,4-Wheelers,1.0
2014-09,Arunachal Pradesh,2-Wheelers,0.0
2014-09,Arunachal Pradesh,4-Wheelers,0.0
2014-09,Assam,2-Wheelers,0.0
2014-09,Assam,4-Wheelers,0.0
2014-09,Bihar,2-Wheelers,1.0
2014-09,Bihar,4-Wheelers,0.0
2014-09,Chandigarh,2-Wheelers,0.0
2014-09,Chandigarh,4-Wheelers,0.0
2014-09,Chhattisgarh,2-Wheelers,9.0
2014-09,Chhattisgarh,4-Wheelers,0.0
2014-09,DNH and DD,2-Wheelers,0.0
2014-09,DNH and DD,4-Wheelers,0.0
2014-09,Delhi,2-Wheelers,2.0
2014-09,Delhi,4-Wheelers,1.0
2014-09,Goa,2-Wheelers,2.0
2014-09,Goa,4-Wheelers,0.0
2014-09,Gujarat,2-Wheelers,3.0
2014-09,Gujarat,4-Wheelers,0.0
2014-09,Haryana,2-Wheelers,0.0
2014-09,Haryana,4-Wheelers,1.0
2014-09,Himachal Pradesh,2-Wheelers,0.0
2014-09,Himachal Pradesh,4-Wheelers,0.0
2014-09,Jammu and Kashmir,2-Wheelers,0.0
2014-09,Jammu and Kashmir,4-Wheelers,0.0
2014-09,Jharkhand,2-Wheelers,0.0
2014-09,Jharkhand,4-Wheelers,0.0
2014-09,Karnataka,2-Wheelers,11.0
2014-09,Karnataka,4-Wheelers,50.0
2014-09,Kerala,2-Wheelers,2.0
2014-09,Kerala,4-Wheelers,1.0
2014-09,Ladakh,2-Wheelers,0.0
